,content
0,"Update for 2021Things may be getting back to 'normal' to some extent, but it would be a shame not to keep these gatherings going. 'Normal' seems to be a way off yet for most of us, doesn’t it? Let's keep on meeting -  every other week, on Thursdays (starting on the January 7th). As always, the live gatherings are open to both Change Circle and WikiWing members, but the recordings will only be available inside Change Circle.~~~~~~~~Since we need connection now more than ever - to Yi and to one another - Clarity will be hosting some extra weekly  fortnightly (every-other-week-ly) video chatsWhat it isWeekly Fortnightly, hour-long video chats about Yi and readings.(And occasionally about something Yeekier, such as nuclear hexagrams.)Who it's forNormally meetings like this are just for Change Circle members, but these are for everyone in Change Circle or WikiWing. That way we limit it to people who are genuinely interested in the Yi (probably a good idea in these days of 'Zoombombing') but cost won't be a barrier.WhenMondays Thursdays at 6pm UK time. Click here to see what that is in your own timezone.I don't know how long the calls will continue for, but at least until the end of April they're too good to stop yet.WhereZoom video chat. A month ago I'd have needed to explain what that is... probably not so much now, right? I've been using it for classes since before they were famous  ; it works beautifully and is nice and easy to use.I'll be emailing the room link round to Change Circle and WikiWing members right away.How to share a readingI do much better with readings if I have a chance to think about them for a while and let them sink in. I don't think I'm alone in that, so let's share readings in advance of the calls. Here's how:If you are a member of Change Circle or WikiWing, and have a reading you'd like to share...and if and only if you are definitely coming to the next call...then please post a link to the reading on this thread.We don't want this thread to fill up with reading interpretations, so please just post a link to your reading thread in Shared Readings or Reading Circle.(Change Circle people - that means you can link to a reading in 'Reading Circle' and know it won't be shared beyond CC plus those who turn up to the call.)Last edited: Jan 4, 2021"
1,"I have uploaded some Imperial China era  charts to the Contemplating I Ching website, including Hexagram Order circular chart, Fuxi (Shao Yong) Chart (circle + square), Palaces Chart (i.e., organized by bottom trigram), and a handy Nuclear Hexagrams chart (circular). Look on ""Resources"" page. Will add more as time goes by. Enjoy!BarbaraLast edited: Jul 7, 2018"
2,Denis Mair has very generously given permission for me to host all his Yijing articles here for us to download. Here is the download page.It's basically the Yijing version of this. Enjoy.
3,"Dear all,At last, here is something I promised a long time ago but seemed to find no time to dedicate to it and finish. The problem was compounded when some of the concepts discussed in Part 2, Section 10, ""Times,"" needed a background explanation. Said background is found, in part, in Part 1, Sections 15-31. (Pay attention, for example, at the part where a proper structure for questioning the oracle is presented.) That added quite a bit to the translation. I have also opted to keep both files separate with links to each other. Many of you have asked for a practical way to ""time"" your Yijing consultations, without obtaining a PhD in Math. Well, here it is. This is the system used by our friend Jesed every time he tried to help someone in the Shredded Readings section, before he got tired of all the useless bickering (including random threats of witchery, that are forever part of the ""Clarity Annals""... )Mr. Andreé's ""Tratado I Ching, El Canon de las Mutaciones: El Séptimo Tiempo,"" is, In my opinion, one of the best --and open--, kept secrets in Yixue. The way the work is presented, and depending on their religious bent, is either very appealing to some students or easily dismissed off-hand, due in part to the somewhat dogmatic way it is presented. Mr. Andreé, whom was born in Chile, had a career as a journalist in Europe for many years, is a professor of ""Comparative Religions,"" a writer and poet, has had a few decades of Yijing study and practice. Even though I believe he's got good command of a couple of other languages, all his work is written in his native Spanish. I've always had mix feelings about Mr. Andreé. Much in the same way that Carol Anthony has presented her work as expanding explanations and meditations upon the Wilhelm translation, Mr. Andreé has also taken Wilhelm, whom he values above any other translation, and ""expanded"" the work. A good quarter of the book is about explanations and meditations like the ones shared here in translation (a very small portion of them, to be sure). The rest of the ""I Ching Treatise"" is dedicated to the 64 Hexagrams and their explanations. He's got many interesting hexagram interactions, such as ""Ambushed Hexagrams,"" which tend to take over the ""time"" indicated by a resulting hexagram, etc. However, when I speak about my ""mixed feelings"" they are mainly due to my own rebellious self which have always shunned those that call themselves ""Masters"" and have ""following disciples."" He also considers himself a priest and his teachings are a mix of Christianity and Yijing focused philosophy. His prose is filled with allusions to ""Saints and Sages,"" for example, though no Christian saints are mentioned. At the beginning, I almost disregarded his work, mostly on the account of some of his ""disciples,"" a few of whom, other than Jesed, have crossed through the halls of Clarity in the past. (If there is something I dislike more than self-appointed masters, are the zealots that follow them without a clear understanding of what the teachings are about...). Over the years, however, and by following his work, dedication to his causes and his predictions, I have come to understand that the scale tips, heavily, on the positive side. And no, I don't subscribe to his philosophical mixture. I do respect it though, as the path he has chosen to walk and teach to others. His work is, indeed, unique.Regarding his predictions, well, he's on record of making very accurate ones related to Chilean and world affairs as well as natural disasters such as the ones that struck Chile in the last few years. The timing method described in my translations is quite useful and accurate. For those interested, there are many examples here in Clarity of the method being used by Jesed. He has always applied the method to a dot and got mostly shooed away by wispy fortune-telling ""intuition.""The ""I Ching Treatise"" isn't a ""little book""... Below are a few pictures I took this morning (that's a 26in monitor behind it). It measures 11x8.5, has some 600 pages and is hand-sewn to boot! About the size of a phone book... Oh, and it comes with its own hand-crafted yellow cloth bag for storage. A couple of disclaimers:1. I hope you'll excuse the quality of the translation itself. I've tried my best to translate some of those philosophical concepts from the Spanish but, as you can imagine, it isn't an easy task (the reason I try to understand them, when exposed, in their own language). While I've tried hard to be true to the original, there are some terms used that do not translate well into English. I'm certain it needs some heavy editing but I've no much time for that. My apologies. However, the message is there, and a promise is a promise, albeit slow in coming. 2. I will not entertain arguing with anybody about the validity of the method or Mr. Andreé as its messenger. You either like it and use it, at your own risk, or you don't. Simple as that. I have my own opinions and experiences but I fly no flags for anybody.Sorry for the long wind. This isn't even an introduction to Mr. Andreé's work but something was needed as a background. Without further ado, here are the links:Ricardo Andreé's ""Times""Ricardo Andreé, I Ching Treatise, Part 1, Sections 15 to 31-English​I hope you'll enjoy them and, indeed, find them useful in your consultations.Cheers,Last edited by a moderator: Jul 5, 2012"
4,"Greetings All,    I have  posted a complete explanation of the King Wen Sequence of the I Ching hexagrams in a new page  accessible from my website page on the Flux Tome Perspective Upon the I Ching: www.stars-n-dice.com/fluxtome.html   or directly www.stars-n-dice.com/tetraktys.html .The difference between my explanation and the others about is that mine is not based upon the King Wen Sequence being set up as 32 pairs by line structure. It does not put the hexagrams on a number line, or in a circle or along a curve of any kind. It does not assume there is anything unique to any Chinese commentary or mathematical system.Instead, my explanation is based in the philosophical framework of the Pythagorean Tetraktys or the view that a complete analysis of any subject can be made in ten specific points grouped into a  1- Monad, 2-Dyads or linear polar opposites, 3 stages of process or narrative, and 4-Tetrad of perpendicular double dichotomies.That a single Sequence fits  the 32 pairs by line structure and the Pythagorean decad analysis of the Tetraktys, and all the other mathematical and philosophical conjectures folks have developed is simply a testament to the mystic poetry of the King Wen Sequence which works from whatever perspective one might choose to employ.The benefit of the Tetraktys matrix to explain the King Wen Sequence is that it is so absolutely and totally philosophically satisfying. It has no issues of how well does it fit the algorithm, are these math or landscape points the truly right ones. It just fits into place seamlessly. However, try it out yourself and see what you find.  A bit of background on my perspective and its development:   In the late 1970's I had the opportunity to teach an astrologer friend of mine in Belgium the basics of the I Ching. In the course of our  hours of study, it suddenly occurred to me that it was now quite simple to repeat the original insight of determining the meaning of each hexagram from just the line pattern of Yang and Yin lines.The fundamental principles to achieve this clarity about the hexagrams is to make a change in perspective from the standard view of hexagrams being composed of independent Yang and Yin lines. Instead the principle is that the gua (hexagram or trigram) is a  gestalt matrix whose background state is the set of Yin line places. A trigram or hexagram is thus a matrix background which is represented graphically by all Yin lines.    The individual hexagrams are formed as the open space between the pieces of the Yin lines is either filled in as a Yang line or left open to remain gestalt background called a Yin line.The meaning of the individual line places are illustrated and explained by the Pythagorean Eidos (dot-patterns on the dice cube) from first sprout or root to structure or stem, to passion or line of development, to 4-heart or soul of inner space, to 5-complete individual organization and Self, to 6-the flower or seed pod that opens the transition to the next situation.The meaning of the hexagram arises from 2 simple principles: There is a natural structural motion from line 1 up through line 6 (the Yin process). There is a a specific dynamic from a Yang line place toward an open Yin line place.Putting these together one can understand and explain the meaning of each hexagram. One example--hexagram 3, the first and 5th line places only are Yang. The only focus is upon the beginning and the overall organization, everything else is background. This is the situation of the first application of the chisel to carve the marble sculpture. The artist has the overall plan in mind and the chisel point has begun the transition from mental image to concrete reality. Difficulty at the beginning or Strikes.After working on my Flux Tome perspective, publishing several books on the topic, and reading the Pythagorean Sourcebook and Library by Guthrie (ISBN 0-933999-51-8) I realized that the brief comments in Wilhelm hex. 11 and 41 about the King Wen Sequence being in sets of 10 which is the same decad arrangement of the Tetraktys.Looking at the hexagrams ending in 1 (1,11,21,31,41,51 and 61), starting with hexagram One Ch'ien I saw even its Chinese ideogram name referred to the concrete imagery of the  water cycle. Those first 10 hexagrams are each composed by trigrams which illustrate the water cycle from their traditional nature images: sunshine, earth topography, thunder, rain, mountain, wind and finally lake. The water cycle starts with and is fully energized and explained by the action of sunshine to produce clouds that form water that flows over the earth until it reaches the sea.The big twist is to read the King Wen sequence like a poem, that is to not get hung up with the rhymes or line value pairs; rather to keep to the philosophical matrix taking hexagram one alone as monad, two and three as polar opposites of the Planet Earth topography and the thunderstorm energy that strikes and starts the rain fall. Then the Triad narrative process of hexagrams 4-5-6 beginning with the energy given to rain falling upon a mountain to produce artesian springs or rushing torrents;  central core of the water vapor in the clouds that will eventually fall over the Earth topography and pick up that energy of elevation--and finally the rain water falling through the sunshine, no longer controlled by that energy and now controlled by its elevation over the topography.Then the final Tetrad of the double dichotomy of perpendicular axes- 7 and 8 as water absorbed into the earth and 8 water flowing along the topography. And 9 the weather systems in the atmosphere that control the motion and elevation of the clouds finally ending the entire set of 10 with the low point of the topography that fills with water where it sits quiescent under the sunshine ending one water cycle and starting the next.Q.E.D.Check it all out for yourself through www.stars-n-dice.com.Dr. Frank R. Kegan :bows:"
5,"Hello community! Does anyone know if it's still possible to find a printed and bound copy of Hatcher's translation? I'm aware I can download it for free, but I'd really love a print copy. Thanks in advance for your help!"
6,"...is tucked away on her website so you might not have found it. Here it is:LiSe Yi-blogwww.yijing.nlThe latest post is on unchanging hexagrams; before that you'll find little gems about tigers and leopards, moons, mares and turtles. Enjoy."
7,"Dear fellow students of the I Ching, In my life as an artist who makes handmade books in very small editions, I created a book to illuminate the hexagrams of the I Ching using poetry and photocollage. It has two spines at the top and bottom which enables the reader to match upper and lower trigrams, and then see the images associated with those trigrams as a pair, or hexagram. (Hope that makes sense.)It is titled “Later Heaven”, and here is a link to view it online:http://www.danadanadana.com/laterheaven.html"
8,Does anyone recall any movies that have a strong influence coming from the Yijing? Or even a mention of the Yijing in the movie that gave you a sense that the director knew something about it? Or a documentary about the subject like Beyond_the_veil's find -http://www.onlineclarity.co.uk/friends/showthread.php?t=13837  I guess I'm just in the mood for a good movie.   
9,Roy Johnson - yogabyroy here at Clarity - is running a Zoom session this Sunday on essential oils and the I Ching.Sunday 6th December3pm Eastern Time Contact him for the Zoom link - start a private conversation here with 'yogabyroy' or private message him on Facebook.
